CVE_SUC,NOM_SUC,CVE_ZONA,NOM_ZONA,CVE_COORD,NOM_COORD
139,SUC. SAN QUINTIN,6777,D DIV  RB NOROESTE,7489,NO02 - PACIFICO NORTE
141,SUC. MADERO,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
144,SUC. ESTACION VICTORIA,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
145,SUC. JUSTO SIERRA,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
146,SUC. CD. MORELOS,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
147,SUC. SAN. L. RIO COLORADO,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
148,SUC. BENITO JUAREZ,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
149,SUC. CENTRO CIVICO,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
150,SUC. VADO DEL RIO,6777,D DIV  RB NOROESTE,7009,NO04 - HERMOSILLO
151,SUC. LAGOS DE MORENO,9931,D DIV RB CENTRO,6204,C01 - LEON
152,SUC. MANZANILLO,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
153,SUC. CD. GUZMAN,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
154,SUC. TEOCALTICHE,9931,D DIV RB CENTRO,6205,C02 - AGS ZAC
155,SUC. SAN JUAN DE LOS LAGOS,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
156,SUC. ENCARNACION,9931,D DIV RB CENTRO,6204,C01 - LEON
157,SUC. ZAPOTILTIC,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
158,SUC. TEPATITLAN,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
159,SUC. AUTLAN SUC. ASIG.III,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
160,SUC. LA BARCA,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
161,SUC. EL GRULLO,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
162,SUC. ARANDAS,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
163,SUC. PUERTO VALLARTA,6150,D DIV RB OCCIDENTE,6050,O04 -GUADALAJARA
164,SUC. YAHUALICA,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
165,SUC. SAN JULIAN,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
166,SUC. SAN GABRIEL,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
167,SUC. TONAYA,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
169,SUC. LUIS ENCINAS,6777,D DIV  RB NOROESTE,7009,NO04 - HERMOSILLO
170,SUC. AYUTLA,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
171,SUC. TEPIC CENTRO,6150,D DIV RB OCCIDENTE,6050,O04 -GUADALAJARA
172,SUC. COLIMA CENTRO,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
174,SUC. TLAJOMULCO,6150,D DIV RB OCCIDENTE,6056,O02 - GUADALAJARA
175,SUC. ACATIC,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
176,SUC. IXTLAHUACAN,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
177,SUC. A. RODRIGUEZ,6777,D DIV  RB NOROESTE,7009,NO04 - HERMOSILLO
178,SUC. PALMA NOGALES,6777,D DIV  RB NOROESTE,7075,NO06 - NOGALES
180,SUC. CENTRO OBREGON,6777,D DIV  RB NOROESTE,7101,NO05 - CD OBREGON
181,SUC. CALIFORNIA,6777,D DIV  RB NOROESTE,7101,NO05 - CD OBREGON
182,SUC. MIGUEL ALEMAN,6777,D DIV  RB NOROESTE,7101,NO05 - CD OBREGON
183,SUC. VILLA CORONA,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
184,SUC. SANTIAGO COLIMA,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
185,SUC. PARRAS,9932,D DIV RB NORTE,8727,N09 - TORREON
186,SUC. LAZARO CARDENAS,6150,D DIV RB OCCIDENTE,6526,O07 - MORELIA
187,SUC. GUAYMAS,6777,D DIV  RB NOROESTE,7101,NO05 - CD OBREGON
188,SUC. SAN FRANCISCO COLIMA,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA
189,SUC. HUATABAMPO,6777,D DIV  RB NOROESTE,7101,NO05 - CD OBREGON
191,SUC. AMECA,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
192,SUC. NAVOJOA,6777,D DIV  RB NOROESTE,7101,NO05 - CD OBREGON
193,SUC. LA PAZ CENTRO,6777,D DIV  RB NOROESTE,7213,NO07 - B.C.S
194,SUC. SAN AGUSTIN,9932,D DIV RB NORTE,8003,N02 - MONTERREY 2
195,SUC. ISABEL LA CATOLICA,6777,D DIV  RB NOROESTE,7213,NO07 - B.C.S
196,SUC. JUAREZ,9933,D DIV RB  SUR,5218,S01 - PUEBLA
197,SUC. LOS MOCHIS CENTRO,6777,D DIV  RB NOROESTE,7218,NO08 - SINALOA NORTE
198,SUC. LOS MOCHIS LEYVA,6777,D DIV  RB NOROESTE,7218,NO08 - SINALOA NORTE
199,SUC. GUASAVE,6777,D DIV  RB NOROESTE,7218,NO08 - SINALOA NORTE
203,SUC. CENTRO MAZATLAN,6777,D DIV  RB NOROESTE,7218,NO08 - SINALOA NORTE
204,SUC. MAZATLAN CARRASCO,6777,D DIV  RB NOROESTE,7218,NO08 - SINALOA NORTE
205,SUC. NUEVO CASAS GDS,6777,D DIV  RB NOROESTE,7815,NO12 - CD JUAREZ
206,SUC. 5 MAYO,6777,D DIV  RB NOROESTE,7815,NO12 - CD JUAREZ
209,SUC. FUTURAMA,6777,D DIV  RB NOROESTE,7815,NO12 - CD JUAREZ
210,SUC. JUAREZ PASEO,6777,D DIV  RB NOROESTE,7815,NO12 - CD JUAREZ
211,SUC.TECNOLOGICO,6777,D DIV  RB NOROESTE,7815,NO12 - CD JUAREZ
214,SUC. CUAUHTEMOC,6777,D DIV  RB NOROESTE,7701,NO10 - CHIHUAHUA CENTRO
216,SUC. PARRAL,6777,D DIV  RB NOROESTE,7701,NO10 - CHIHUAHUA CENTRO
218,SUC. UNIVERSIDAD,6777,D DIV  RB NOROESTE,7701,NO10 - CHIHUAHUA CENTRO
219,SUC. PERIFERICO,6777,D DIV  RB NOROESTE,7701,NO10 - CHIHUAHUA CENTRO
220,SUC. CENTRO DURANGO,9932,D DIV RB NORTE,7903,N11 - DURANGO
221,SUC. LORETO,9933,D DIV RB  SUR,5218,S01 - PUEBLA
222,SUC. ABASTOS DURANGO,9932,D DIV RB NORTE,7903,N11 - DURANGO
224,SUC. FUENTES BROTANTES,4831,D DIV RB METRO SUR,5214,MS05 - PEDREGAL
225,SUC. CENTRO EJECUTIVO TORREON,9932,D DIV RB NORTE,8727,N09 - TORREON
229,SUC. ABASTOS TORREON,9932,D DIV RB NORTE,8727,N09 - TORREON
230,SUC. GOMEZ PALACIO,9932,D DIV RB NORTE,8727,N09 - TORREON
231,SUC. FRANCISCO I. MADERO,9932,D DIV RB NORTE,8727,N09 - TORREON
233,SUC. STA. MA. ORO,9932,D DIV RB NORTE,7903,N11 - DURANGO
235,SUC. PARQUE INDUSTRIAL,9932,D DIV RB NORTE,8727,N09 - TORREON
237,SUC. OFICINA CENTRAL SALTILLO,9932,D DIV RB NORTE,8210,N10 - SALTILLO
238,SUC. RAMOS ARIZPE,9932,D DIV RB NORTE,8210,N10 - SALTILLO
239,SUC. ORIENTE,9932,D DIV RB NORTE,8210,N10 - SALTILLO
241,SUC. LOS GONZALEZ,9932,D DIV RB NORTE,8210,N10 - SALTILLO
242,SUC. V. CARRANZA,9932,D DIV RB NORTE,8210,N10 - SALTILLO
243,SUC. DE LA FUENTE,9932,D DIV RB NORTE,8210,N10 - SALTILLO
245,SUC. PIEDRAS NEGRAS,9932,D DIV RB NORTE,8712,N08 - NUEVO LAREDO
247,SUC. MONCLOVA BOULEVARD,9932,D DIV RB NORTE,8210,N10 - SALTILLO
248,SUC. OCAMPO,9932,D DIV RB NORTE,8011,N04 - MONTERREY 4
251,SUC. GUADALUPE,9932,D DIV RB NORTE,8150,N01 - MONTERREY 1
252,SUC. PLAZA FIESTA ANAHUAC,9932,D DIV RB NORTE,8039,N03 - MONTERREY 3
253,SUC. IND. NORTE,9932,D DIV RB NORTE,8150,N01 - MONTERREY 1
254,SUC. PADRE MIER,9932,D DIV RB NORTE,8011,N04 - MONTERREY 4
255,SUC. VALLE,9932,D DIV RB NORTE,8003,N02 - MONTERREY 2
256,SUC. ALLENDE,9932,D DIV RB NORTE,8011,N04 - MONTERREY 4
257,SUC. CENTRO MATAMOROS,9932,D DIV RB NORTE,8044,N07 - MATAMOROS-REYNOSA
258,SUC. SIMON BOLIVAR,9932,D DIV RB NORTE,8003,N02 - MONTERREY 2
259,SUC. EJERCITO,9931,D DIV RB CENTRO,6607,C03 - QUERETARO
260,SUC. RIO BRAVO,9932,D DIV RB NORTE,8044,N07 - MATAMOROS-REYNOSA
263,SUC. LAURO VILLAR,9932,D DIV RB NORTE,8044,N07 - MATAMOROS-REYNOSA
266,SUC. LAREDO,9932,D DIV RB NORTE,8712,N08 - NUEVO LAREDO
268,SUC. ADUANA,9932,D DIV RB NORTE,8712,N08 - NUEVO LAREDO
271,SUC. CD. VICTORIA,9932,D DIV RB  SUR,8619,S09 - TAMPICO-VICTORIA
272,SUC. CD. MADERO,9932,D DIV RB  SUR,8619,S09 - TAMPICO-VICTORIA
273,SUC. B. HIDALGO,9932,D DIV RB  SUR,8619,S09 - TAMPICO-VICTORIA
274,SUC. CENTRO LEON,9931,D DIV RB CENTRO,6204,C01 - LEON
275,SUC. URB. CENTRO,9931,D DIV RB CENTRO,6204,C01 - LEON
276,SUC. URBANA GALERIAS,9931,D DIV RB CENTRO,6204,C01 - LEON
277,SUC. V. CARRANZA,9931,D DIV RB CENTRO,6204,C01 - LEON
278,SUC. INSURGENTES,9931,D DIV RB CENTRO,6204,C01 - LEON
279,SUC. SAN FCO. DEL RINCON,9931,D DIV RB CENTRO,6204,C01 - LEON
280,SUC. GUANAJUATO,9931,D DIV RB CENTRO,6609,C04 - GUANAJUATO
281,SUC. SILAO,9931,D DIV RB CENTRO,6609,C04 - GUANAJUATO
282,SUC. IRAPUATO,9931,D DIV RB CENTRO,6609,C04 - GUANAJUATO
283,SUC. LA PASTORA,9932,D DIV RB NORTE,8011,N04 - MONTERREY 4
