customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil
1-294800-UH,M,27148,TORREON,COAHUILA DE ZARAGOZA,W4248,424,9932.0,S
1-825939-SH,F,44100,GUADALAJARA,JALISCO,W1048,104,6150.0,C
1-406791-GJ,M,47170,SAN JULIAN,JALISCO,W1651,165,6150.0,C
1-674845-PX,F,28018,COLIMA,COLIMA,X9611,1961,6150.0,C
1-713110-DZ,M,72570,PUEBLA,PUEBLA,Z0323,3032,9933.0,C
1-938226-CV,F,72430,PUEBLA,PUEBLA,Z0323,3032,9933.0,S
1-557858-LT,M,72420,PUEBLA,PUEBLA,V0391,1108,9933.0,C
1-511690-VM,F,97000,MERIDA,YUCATAN,W3752,375,9610.0,C
1-487680-FH,M,54020,TLALNEPANTLA,MEXICO,V0314,3557,9934.0,C
1-109093-YR,M,48900,AUTLAN DE NAVARRO,JALISCO,V0324,159,6150.0,C
1-243546-R\,F,44630,GUADALAJARA,JALISCO,V0112,714,6150.0,C
1-956848-CN,M,51950,TONATICO,MEXICO,W0018,1,4831.0,S
1-174414-Q\,M,63507,TEPIC,NAYARIT,W1718,171,6150.0,C
1-232057-IA,M,82120,MAZATLAN,SINALOA,W2043,204,6777.0,C
1-890173-YF,M,48200,TALPA DE ALLENDE,JALISCO,W1638,163,6150.0,C
1-722597-XK,F,62270,CUERNAVACA,MORELOS,W0861,86,4831.0,C
1-772605-ZI,F,15850,VENUSTIANO CARRANZA,CIUDAD DE MEXICO,W5422,542,4831.0,S
1-592983-LR,M,83250,HERMOSILLO,SONORA,W9271,927,6777.0,C
1-674839-DX,M,47270,ENCARNACION DE DIAZ,JALISCO,W1563,156,9931.0,C
1-355893-AC,F,28870,MANZANILLO,COLIMA,W1528,152,6150.0,C
1-519616-TA,F,92870,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,V0292,342,9933.0,S
1-859862-LK,F,72410,PUEBLA,PUEBLA,W3148,314,9933.0,C
1-218462-YX,F,66236,SAN PEDRO GARZA GARCIA,NUEVO LEON,X6348,1634,9932.0,C
1-230523-XY,F,1710,ALVARO OBREGON,CIUDAD DE MEXICO,W5848,584,4831.0,D
1-409844-PP,F,91030,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,W3344,334,9933.0,D
1-478833-E[,M,47170,SAN JULIAN,JALISCO,W1651,165,6150.0,C
1-515907-NB,F,14300,TLALPAN,CIUDAD DE MEXICO,V0025,643,4831.0,D
1-358104-[G,M,24154,CARMEN,CAMPECHE,V0546,1865,9610.0,C
1-461242-T\,M,73160,HUAUCHINANGO,PUEBLA,V0553,327,9933.0,C
1-668688-VP,F,2780,AZCAPOTZALCO,CIUDAD DE MEXICO,V0056,50,9934.0,S
1-744702-IR,M,2670,AZCAPOTZALCO,CIUDAD DE MEXICO,V0320,433,9934.0,C
1-636980-HV,F,3100,BENITO JUAREZ,CIUDAD DE MEXICO,V0090,67,4831.0,C
1-518163-[F,M,1790,ALVARO OBREGON,CIUDAD DE MEXICO,W1011,101,6777.0,C
1-211493-VF,M,45237,ZAPOPAN,JALISCO,Z0154,3015,4831.0,C
1-770431-GW,M,37297,LEON,GUANAJUATO,X8923,1892,9931.0,C
1-581454-GY,M,52929,ATIZAPAN DE ZARAGOZA,MEXICO,W0684,68,9934.0,S
1-712974-CX,F,21280,MEXICALI,BAJA CALIFORNIA,W1493,149,6777.0,C
1-783140-GU,M,77533,BENITO JUAREZ,QUINTANA ROO,W0422,42,4831.0,C
1-729111-W\,F,92840,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,W3423,342,9933.0,C
1-744944-GL,M,28017,COLIMA,COLIMA,W1882,188,6150.0,V
1-445188-QW,M,59650,ZAMORA,MICHOACAN DE OCAMPO,W9234,923,6150.0,C
1-201230-[X,F,28017,COLIMA,COLIMA,V0408,1961,6150.0,C
1-610138-OF,M,48900,AUTLAN DE NAVARRO,JALISCO,V0324,159,6150.0,C
1-822089-NQ,M,49700,SAN GABRIEL,JALISCO,W1662,166,6150.0,C
1-908492-NW,F,44647,GUADALAJARA,JALISCO,V0399,3046,6150.0,V
1-377594-VV,F,74585,CHIETLA,PUEBLA,W3195,319,9933.0,C
1-468450-MG,M,22183,TIJUANA,BAJA CALIFORNIA,W1342,134,6777.0,C
1-363817-KH,F,22224,TIJUANA,BAJA CALIFORNIA,V1041,452,6777.0,S
1-682159-FE,M,67320,SANTIAGO,NUEVO LEON,X0261,1026,9932.0,S
1-387568-[B,M,2060,AZCAPOTZALCO,CIUDAD DE MEXICO,W0502,50,9934.0,C
1-664708-OW,M,45010,ZAPOPAN,JALISCO,W1009,100,6150.0,S
1-304939-MX,F,14110,TLALPAN,CIUDAD DE MEXICO,Z0161,3016,4831.0,C
1-209390-[Z,F,10100,LA MAGDALENA CONTRERAS,CIUDAD DE MEXICO,W0398,39,4831.0,S
1-699556-FK,M,10340,LA MAGDALENA CONTRERAS,CIUDAD DE MEXICO,X5744,1574,4831.0,C
1-615079-XK,M,14140,TLALPAN,CIUDAD DE MEXICO,V0506,3013,4831.0,C
1-117387-T\,M,2420,AZCAPOTZALCO,CIUDAD DE MEXICO,W5513,551,9934.0,S
1-726088-HA,M,78000,SAN LUIS POTOSI,SAN LUIS POTOSI,W2885,288,9931.0,S
1-764537-[Y,M,78230,SAN LUIS POTOSI,SAN LUIS POTOSI,W2885,288,9931.0,C
1-712913-MS,M,24087,CAMPECHE,CAMPECHE,W3693,369,9610.0,U
1-300994-QD,M,66276,SAN PEDRO GARZA GARCIA,NUEVO LEON,W2532,253,9932.0,C
1-822229-XU,F,76020,QUERETARO,QUERETARO,W2592,259,9931.0,S
1-424556-RD,M,79305,CIUDAD DEL MAIZ,SAN LUIS POTOSI,W2748,274,9931.0,C
1-353427-QR,M,52763,HUIXQUILUCAN,MEXICO,V8155,3026,9934.0,S
1-587015-TD,M,16000,XOCHIMILCO,CIUDAD DE MEXICO,W0772,77,9934.0,S
1-992240-OG,M,6300,CUAUHTEMOC,CIUDAD DE MEXICO,W0995,99,9934.0,C
1-468592-PV,F,21225,MEXICALI,BAJA CALIFORNIA,W1462,146,6777.0,C
1-512963-KQ,M,47300,YAHUALICA DE GONZALEZ GAL,JALISCO,W1648,164,6150.0,S
1-667166-QE,M,86780,JONUTA,TABASCO,W9813,981,9610.0,C
1-871410-AI,F,3020,BENITO JUAREZ,CIUDAD DE MEXICO,W6521,652,4831.0,C
1-430132-XU,M,49600,ZAPOTILTIC,JALISCO,W1578,157,6150.0,C
1-390577-F\,F,54140,TLALNEPANTLA DE BAZ,MEXICO,W0345,34,9934.0,D
1-119452-WQ,M,53240,NAUCALPAN,MEXICO,V0426,587,9934.0,C
1-509006-XJ,M,11910,MIGUEL HIDALGO,CIUDAD DE MEXICO,V0519,494,9934.0,C
1-165794-HA,F,42060,PACHUCA DE SOTO,HIDALGO,X9773,1977,9934.0,S
1-732925-KG,F,14410,TLALPAN,CIUDAD DE MEXICO,W0192,19,9934.0,S
1-638759-[X,F,90500,HUAMANTLA,TLAXCALA,W3283,328,9933.0,C
1-116353-PO,M,55055,ECATEPEC DE MORELOS,MEXICO,W0278,27,9934.0,S
1-225641-H\,M,64834,MONTERREY,NUEVO LEON,W2523,252,9932.0,C
1-702869-YR,M,1710,ALVARO OBREGON,CIUDAD DE MEXICO,V0052,310,9933.0,D
1-544851-IK,F,21850,MEXICALI,BAJA CALIFORNIA,Z0282,3028,9934.0,C
1-993916-NW,M,8500,IZTACALCO,CIUDAD DE MEXICO,W0091,9,4831.0,S
1-935082-WQ,F,3650,BENITO JUAREZ,CIUDAD DE MEXICO,W0443,44,4831.0,C
1-949398-KB,M,83249,HERMOSILLO,SONORA,V0470,180,6777.0,S
1-748905-UQ,F,47600,TEPATITLAN DE MORELOS,JALISCO,W1583,158,6150.0,C
1-716994-KH,M,48900,AUTLAN DE NAVARRO,JALISCO,V0324,161,6150.0,C
1-895627-RK,F,48760,TONAYA,JALISCO,W1673,167,6150.0,C
1-273351-YL,M,22244,TIJUANA,BAJA CALIFORNIA,W2093,209,6777.0,C
1-972566-GW,M,39850,ACAPULCO DE JUAREZ,GUERRERO,V0099,75,9933.0,C
1-555687-UV,F,15900,VENUSTIANO CARRANZA,CIUDAD DE MEXICO,V0046,599,4831.0,S
1-643486-AL,M,37299,LEON,GUANAJUATO,W4118,411,9931.0,C
1-685915-OU,M,29057,TUXTLA GUTIERREZ,CHIAPAS,V0286,401,9610.0,C
1-226539-SP,F,74800,TEHUITZINGO,PUEBLA,W3191,319,9933.0,S
1-417120-KA,F,11830,MIGUEL HIDALGO,CIUDAD DE MEXICO,W0093,9,4831.0,S
1-747564-AT,M,44630,GUADALAJARA,JALISCO,Z0461,3046,6150.0,C
1-709114-XF,F,48760,TONAYA,JALISCO,W1673,167,6150.0,S
1-739475-HQ,M,45730,VILLA CORONA,JALISCO,V0330,162,6150.0,S
1-125518-YV,F,28000,COLIMA,COLIMA,V0393,172,6150.0,S
1-151265-ML,M,1400,ALVARO OBREGON,CIUDAD DE MEXICO,W0368,36,4831.0,S
1-422826-TS,F,34105,DURANGO,DURANGO,V0065,220,9932.0,V
1-484194-KU,M,1070,ALVARO OBREGON,CIUDAD DE MEXICO,V0506,3013,4831.0,C
1-125930-RL,F,11850,MIGUEL HIDALGO,CIUDAD DE MEXICO,V0003,835,4831.0,C
1-860363-SJ,M,50050,TOLUCA,MEXICO,W0998,99,9934.0,C
1-290114-VQ,F,45199,ZAPOPAN,JALISCO,V0431,695,6150.0,C
1-197235-WM,M,14275,TLALPAN,CIUDAD DE MEXICO,W0182,18,9934.0,C
1-539853-YN,F,29020,TUXTLA GUTIERREZ,CHIAPAS,W4013,401,9610.0,C
1-595246-VY,M,2050,AZCAPOTZALCO,CIUDAD DE MEXICO,W9483,948,9934.0,S
1-986071-QC,M,72570,PUEBLA,PUEBLA,W3168,316,9933.0,C
1-923832-NT,M,86800,TEAPA,TABASCO,W3578,357,9610.0,C
1-732611-B[,M,86500,CARDENAS,TABASCO,V0297,348,9610.0,C
1-208395-YU,F,4700,COYOACAN,CIUDAD DE MEXICO,W0638,63,4831.0,C
1-630596-B\,F,45058,ZAPOPAN,JALISCO,W2908,290,6150.0,C
1-330829-K[,M,22940,ENSENADA,BAJA CALIFORNIA,W1392,139,6777.0,C
1-593342-SF,F,86220,NACAJUCA,TABASCO,W3454,345,9933.0,C
1-242472-GL,F,25280,SALTILLO,COAHUILA DE ZARAGOZA,W2378,237,9932.0,C
1-299377-SA,M,94500,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,O9385,511,9934.0,S
1-885474-PA,M,23470,LOS CABOS,BAJA CALIFORNIA SUR,V0350,1687,6777.0,U
1-388465-MT,F,97130,MERIDA,YUCATAN,Z9032,3903,9610.0,S
1-785566-ZW,F,83138,HERMOSILLO,SONORA,W1693,169,6777.0,C
1-158397-BA,M,50220,TOLUCA,MEXICO,V0516,94,9934.0,C
1-718604-TR,M,29010,TUXTLA GUTIERREZ,CHIAPAS,W4018,401,9610.0,C
1-693592-HR,M,47270,ENCARNACION DE DIAZ,JALISCO,W1563,156,9931.0,C
1-206143-RE,M,28870,MANZANILLO,COLIMA,V0165,184,6150.0,C
1-559947-TW,M,11000,MIGUEL HIDALGO,CIUDAD DE MEXICO,V8155,3006,9934.0,S
1-803140-[T,M,6500,CUAUHTEMOC,CIUDAD DE MEXICO,W0998,99,9934.0,C
1-547713-XF,M,3100,BENITO JUAREZ,CIUDAD DE MEXICO,V0034,537,4831.0,C
1-785942-EU,M,52700,CAPULHUAC,MEXICO,V0662,80,9934.0,C
1-351594-MM,F,86179,CENTRO,TABASCO,V0180,3078,9610.0,C
1-467082-RQ,F,52970,ATIZAPAN DE ZARAGOZA,MEXICO,V0649,68,9934.0,C
1-233963-ST,M,66240,SAN PEDRO GARZA GARCIA,NUEVO LEON,X1372,1137,9932.0,C
1-693115-QT,F,49000,ZAPOTLAN EL GRANDE,JALISCO,V0407,153,6150.0,V
1-690156-LL,F,61518,ZITACUARO,MICHOACAN DE OCAMPO,W2981,298,9934.0,C
1-468759-YM,M,3100,BENITO JUAREZ,CIUDAD DE MEXICO,W5691,569,4831.0,C
1-520415-O\,M,57000,NEZAHUALCOYOTL,MEXICO,W7573,757,9934.0,S
1-217078-KK,M,14050,TLALPAN,CIUDAD DE MEXICO,W0558,55,4831.0,C
1-742640-VO,F,11350,MIGUEL HIDALGO,CIUDAD DE MEXICO,W0078,7,9934.0,S
1-154520-AH,M,20100,AGUASCALIENTES,AGUASCALIENTES,V0436,710,9931.0,C
1-777943-KS,F,1060,ALVARO OBREGON,CIUDAD DE MEXICO,W3623,362,9934.0,S
1-323500-S[,M,85000,OBREGON,SONORA,V0169,181,6777.0,S
1-681771-ZO,F,44990,GUADALAJARA,JALISCO,W4494,449,6150.0,S
1-357758-KV,F,3630,BENITO JUAREZ,CIUDAD DE MEXICO,W8353,835,4831.0,S
1-644909-KM,F,49700,SAN GABRIEL,JALISCO,W1661,166,6150.0,S
1-679479-OB,M,48740,EL GRULLO,JALISCO,W1614,161,6150.0,C
1-463960-WZ,M,58050,MORELIA,MICHOACAN DE OCAMPO,W7023,702,6150.0,C
1-510287-SC,F,44200,GUADALAJARA,JALISCO,W1124,112,6150.0,C
1-343804-TW,M,4000,COYOACAN,CIUDAD DE MEXICO,V0398,3808,6150.0,S
1-360095-RZ,F,87350,MATAMOROS,TAMAULIPAS,W2578,257,9932.0,C
1-163753-GN,M,84030,NOGALES,SONORA,V0466,1185,6777.0,U
1-506667-CP,M,55900,OTUMBA,MEXICO,W7763,776,9934.0,C
1-300108-OY,F,48050,AYUTLA,JALISCO,W1702,170,6150.0,S
1-624998-XR,M,36660,IRAPUATO,GUANAJUATO,W2822,282,9931.0,C
1-894942-DT,F,45120,ZAPOPAN,JALISCO,Z8044,3804,6150.0,C
1-512560-OS,M,21400,TECATE,BAJA CALIFORNIA,W1364,136,6777.0,C
1-637234-BH,M,3920,BENITO JUAREZ,CIUDAD DE MEXICO,Z0154,3015,4831.0,S
1-541499-QI,F,14300,TLALPAN,CIUDAD DE MEXICO,W0998,99,9934.0,S
1-849227-SK,M,27040,TORREON,COAHUILA DE ZARAGOZA,W2294,229,9932.0,S
1-177328-NB,F,25900,RAMOS ARIZPE,COAHUILA DE ZARAGOZA,W2382,238,9932.0,C
1-864123-Y[,M,54720,CUAUTITLAN IZCALLI,MEXICO,W6513,651,9934.0,C
1-424893-FJ,M,64650,MONTERREY,NUEVO LEON,Z9172,3917,9932.0,C
1-279471-IA,M,45580,SAN PEDRO TLAQUEPAQUE,JALISCO,W0994,99,9934.0,C
1-646078-EZ,M,76230,SANTIAGO DE QUERETARO,QUERETARO,V0649,68,9934.0,S
1-827027-XH,M,63735,BAHIA DE BANDERAS,NAYARIT,V0072,940,6150.0,C
1-849846-PI,F,15900,VENUSTIANO CARRANZA,CIUDAD DE MEXICO,W5993,599,4831.0,S
1-400042-TO,M,1430,ALVARO OBREGON,CIUDAD DE MEXICO,W5483,548,4831.0,C
1-852127-WQ,M,7300,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0408,40,9934.0,C
1-435829-CX,F,3630,BENITO JUAREZ,CIUDAD DE MEXICO,V0171,3009,4831.0,S
1-454186-LC,M,64898,MONTERREY,NUEVO LEON,V0357,1634,9932.0,C
1-942715-MP,F,86038,CENTRO,TABASCO,V0084,350,9610.0,C
1-995393-YQ,M,52977,ATIZAPAN DE ZARAGOZA,MEXICO,W0538,53,9934.0,C
1-565050-TY,M,44960,GUADALAJARA,JALISCO,W1262,126,6150.0,C
1-433026-LO,F,9850,IZTAPALAPA,CIUDAD DE MEXICO,W0994,99,9934.0,S
1-893912-RD,F,49088,ZAPOTLAN EL GRANDE,JALISCO,W8242,824,6150.0,S
1-802612-IM,M,44270,GUADALAJARA,JALISCO,Z5583,3558,6150.0,C
1-186758-ZR,M,57730,NEZAHUALCOYOTL,MEXICO,Z0268,3026,9934.0,S
1-828939-VV,M,8000,IZTACALCO,CIUDAD DE MEXICO,W0954,95,9934.0,C
1-314275-XL,M,3910,BENITO JUAREZ,CIUDAD DE MEXICO,V0088,61,4831.0,S
1-375841-EI,F,14000,TLALPAN,CIUDAD DE MEXICO,W0998,99,9934.0,S
1-527335-DP,F,31214,CHIHUAHUA,CHIHUAHUA,V0454,750,6777.0,C
1-783318-TT,M,44600,GUADALAJARA,JALISCO,W0192,19,9934.0,C
1-843193-HS,F,45040,ZAPOPAN,JALISCO,W1172,117,6150.0,C
1-617730-TV,F,3100,BENITO JUAREZ,CIUDAD DE MEXICO,W7378,737,9934.0,C
1-833714-KQ,F,91700,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,X9143,1914,9933.0,C
1-356272-OU,M,44910,GUADALAJARA,JALISCO,W1092,109,6150.0,C
1-100608-AU,F,92830,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,W3423,342,9933.0,C
1-855920-RH,M,58090,MORELIA,MICHOACAN DE OCAMPO,W0243,24,4831.0,S
1-142775-OD,M,97217,MERIDA,YUCATAN,W3752,375,9610.0,C
1-277370-UQ,M,45160,ZAPOPAN,JALISCO,V0247,120,6150.0,C
1-127036-UO,M,27018,TORREON,COAHUILA DE ZARAGOZA,V0364,1676,9932.0,C
1-179522-HR,M,53240,NAUCALPAN,MEXICO,Z0154,3015,4831.0,C
1-439101-VL,F,89440,MADERO,TAMAULIPAS,W3445,344,9933.0,C
1-288967-DQ,F,4120,COYOACAN,CIUDAD DE MEXICO,V9445,11,4831.0,D
1-666071-SN,F,83105,HERMOSILLO,SONORA,X1852,1185,6777.0,S
1-735706-NF,F,47300,YAHUALICA DE GZALEZ GALLO,JALISCO,W1648,164,6150.0,S
1-670408-HC,M,21900,MEXICALI,BAJA CALIFORNIA,W4522,452,6777.0,C
1-412820-TA,F,52167,METEPEC,MEXICO,W0838,83,9934.0,S
1-157286-QG,F,1280,ALVARO OBREGON,CIUDAD DE MEXICO,W0368,36,4831.0,C
1-732734-DY,M,52959,ATIZAPAN DE ZARAGOZA,MEXICO,W0173,17,9934.0,C
1-660446-WA,F,83440,SAN LUIS RIO COLORADO,SONORA,W1492,149,6777.0,C
1-978912-QP,F,22000,TIJUANA,BAJA CALIFORNIA,W1018,101,6777.0,S
1-944072-BZ,M,56700,TLALMANALCO,MEXICO,W0303,30,4831.0,U
1-194176-ZT,M,45315,TALA,JALISCO,W1744,174,6150.0,C
1-527517-VJ,M,66436,SAN NICOLAS DE LOS GARZA,NUEVO LEON,W3871,387,9932.0,C
1-902724-ID,F,20290,AGUASCALIENTES,AGUASCALIENTES,W2868,286,9931.0,S
1-667882-LT,M,55530,ECATEPEC DE MORELOS,MEXICO,W0452,45,9934.0,C
1-818079-QF,F,45920,CHAPALA,JALISCO,Z8182,3818,6150.0,C
1-317369-TD,M,26040,PIEDRAS NEGRAS,COAHUILA DE ZARAGOZA,V0068,245,9932.0,C
1-514679-YQ,F,2340,AZCAPOTZALCO,CIUDAD DE MEXICO,V1005,556,4831.0,D
1-396186-HX,M,4480,COYOACAN,CIUDAD DE MEXICO,W0322,32,4831.0,C
1-446907-GR,M,45660,TLAJOMULCO DE ZUNIGA,JALISCO,V0246,174,6150.0,C
1-229509-CB,F,25000,SALTILLO,COAHUILA DE ZARAGOZA,V0067,237,9932.0,S
1-792512-YQ,F,4230,COYOACAN,CIUDAD DE MEXICO,V0117,61,4831.0,D
1-568883-US,M,45179,ZAPOPAN,JALISCO,W1009,100,6150.0,C
1-915220-BQ,F,22520,TIJUANA,BAJA CALIFORNIA,V1035,127,6777.0,C
1-277463-WY,M,44100,GUADALAJARA,JALISCO,W1043,104,6150.0,C
1-613345-EC,M,91700,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,V0283,337,9933.0,C
1-801595-EK,M,45238,ZAPOPAN,JALISCO,V1020,3982,6150.0,C
1-474858-NW,M,45130,ZAPOPAN,JALISCO,W1183,118,6150.0,C
1-757534-IY,M,27000,TORREON,COAHUILA DE ZARAGOZA,W2258,225,9932.0,C
1-369396-KB,M,62270,CUERNAVACA,MORELOS,V0001,86,4831.0,C
1-405319-HT,M,94520,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,W3412,341,9933.0,C
1-356493-NL,F,3300,BENITO JUAREZ,CIUDAD DE MEXICO,W0772,77,9934.0,S
1-119635-UE,M,89109,TAMPICO,TAMAULIPAS,W2724,272,9932.0,C
1-708688-YW,M,23020,LA PAZ,BAJA CALIFORNIA SUR,W1932,193,6777.0,S
1-460012-AQ,M,97217,MERIDA,YUCATAN,Z7298,3729,9610.0,C
1-857789-HJ,M,2400,AZCAPOTZALCO,CIUDAD DE MEXICO,V0088,61,4831.0,C
1-906359-Z[,M,1900,ALVARO OBREGON,CIUDAD DE MEXICO,V1012,512,4831.0,V
1-470279-BY,F,39300,ACAPULCO DE JUAREZ,GUERRERO,V0099,75,9933.0,S
1-933272-ZC,M,4600,COYOACAN,CIUDAD DE MEXICO,V0403,610,4831.0,C
1-151346-F[,M,48900,AUTLAN DE NAVARRO,JALISCO,V0324,159,6150.0,C
1-691803-KJ,F,48050,AYUTLA,JALISCO,W1635,163,6150.0,C
1-282054-NA,M,87360,MATAMOROS,TAMAULIPAS,W2578,257,9932.0,C
1-984455-XD,M,56100,TEXCOCO,MEXICO,V0651,99,9934.0,S
1-490448-VR,M,49000,ZAPOTLAN EL GRANDE,JALISCO,W1531,153,6150.0,C
1-284304-[K,M,38040,CELAYA,GUANAJUATO,W3925,392,9931.0,C
1-203453-V[,M,24010,CAMPECHE,CAMPECHE,W3692,369,9610.0,C
1-328930-DN,M,1210,ALVARO OBREGON,CIUDAD DE MEXICO,W2258,225,9932.0,S
1-755905-OM,M,3020,BENITO JUAREZ,CIUDAD DE MEXICO,W0158,15,4831.0,C
1-162070-QE,M,83240,HERMOSILLO,SONORA,V0199,477,6777.0,C
1-237147-MZ,F,62520,TEPOZTLAN,MORELOS,W0012,1,4831.0,C
1-663336-KG,M,25230,SALTILLO,COAHUILA DE ZARAGOZA,V0067,237,9932.0,C
1-289193-RE,F,62220,CUERNAVACA,MORELOS,W4962,496,4831.0,S
1-344191-GJ,M,48150,CUAUTLA,JALISCO,W1009,100,6150.0,C
1-804417-TS,M,85820,NAVOJOA,SONORA,W1925,192,6777.0,C
1-796100-CS,F,76146,SANTIAGO DE QUERETARO,QUERETARO,V0057,29,4831.0,C
1-322108-L[,M,45230,ZAPOPAN,JALISCO,V0283,337,9933.0,C
1-479296-P\,M,97120,MERIDA,YUCATAN,V0446,3060,9610.0,C
1-334414-BK,M,69007,HUAJUAPAN DE LEON,OAXACA,W3211,321,9933.0,C
1-992593-GJ,F,91190,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,V0188,335,9933.0,C
1-990281-GY,M,48200,TALPA DE ALLENDE,JALISCO,W7004,700,6150.0,C
1-285383-WW,M,54740,CUAUTITLAN IZCALLI,MEXICO,V0496,590,9934.0,C
1-722790-SG,M,62380,CUERNAVACA,MORELOS,W0851,85,4831.0,C
1-693959-OT,M,48919,AUTLAN DE NAVARRO,JALISCO,W1591,159,6150.0,C
1-584858-H\,M,27900,FRANCISCO I MADERO,COAHUILA DE ZARAGOZA,W2313,231,9932.0,C
1-151693-RD,M,45050,ZAPOPAN,JALISCO,W1192,119,6150.0,C
1-731000-HA,M,82100,MAZATLAN,SINALOA,W3891,389,6777.0,C
1-625831-WF,M,75760,TEHUACAN,PUEBLA,V0685,320,9933.0,C
1-171427-TG,M,14260,TLALPAN,CIUDAD DE MEXICO,V0074,3013,4831.0,S
1-817755-BD,F,85060,CAJEME,SONORA,V0469,182,6777.0,C
1-228418-UJ,F,58600,ZACAPU,MICHOACAN DE OCAMPO,W8232,823,6150.0,S
1-987811-QP,F,53580,NAUCALPAN DE JUAREZ,MEXICO,V0582,3002,9934.0,S
1-177765-SL,M,35158,LERDO,DURANGO,W4743,474,9932.0,C
1-232187-BZ,M,97700,TIZIMIN,YUCATAN,W3802,380,9610.0,C
1-155926-PN,F,6720,CUAUHTEMOC,CIUDAD DE MEXICO,W3739,373,9931.0,S
1-237401-HI,M,3400,BENITO JUAREZ,CIUDAD DE MEXICO,X9913,1991,4831.0,C
1-321567-MY,M,55080,ECATEPEC,MEXICO,W8352,835,4831.0,C
1-242782-QQ,F,22206,TIJUANA,BAJA CALIFORNIA,V0573,132,6777.0,C
1-699027-RZ,F,44750,GUADALAJARA,JALISCO,W1043,104,6150.0,S
1-919788-US,M,31213,CHIHUAHUA,CHIHUAHUA,V0463,721,6777.0,S
1-606246-XV,F,7020,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0404,40,9934.0,S
1-177667-EB,F,37340,LEON,GUANAJUATO,W2763,276,9931.0,S
1-865516-JP,M,72229,PUEBLA,PUEBLA,W7834,783,9933.0,S
1-818412-WC,M,57400,NEZAHUALCOYOTL,MEXICO,W0078,7,9934.0,S
1-522065-AI,M,96340,COSOLEACAQUE,VERACRUZ,W3454,345,9933.0,C
1-684122-HT,M,72530,PUEBLA,PUEBLA,V0040,314,9933.0,C
1-918855-AD,F,44639,GUADALAJARA,JALISCO,Z7082,3708,6150.0,S
1-565154-XW,M,9260,IZTAPALAPA,CIUDAD DE MEXICO,X1572,1157,4831.0,C
1-951789-AS,F,3100,BENITO JUAREZ,CIUDAD DE MEXICO,V0651,99,9934.0,S
1-711474-QG,F,87470,MATAMOROS,TAMAULIPAS,W2572,257,9932.0,S
1-801015-JA,F,33863,HIDALGO DEL PARRAL,CHIHUAHUA,W2162,216,6777.0,S
1-758960-VG,M,63157,TEPIC,NAYARIT,W1718,171,6150.0,C
1-992987-HC,M,97144,MERIDA,YUCATAN,Z0563,3056,9610.0,S
1-891524-AE,M,62290,CUERNAVACA,MORELOS,V0109,86,4831.0,S
1-140759-MZ,M,4410,COYOACAN,CIUDAD DE MEXICO,W0998,99,9934.0,S
1-152014-YI,M,9880,IZTAPALAPA,CIUDAD DE MEXICO,W0738,73,4831.0,S
1-944550-WC,M,91900,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,V0190,337,9933.0,C
1-486894-DC,M,97305,MERIDA,YUCATAN,Z0601,3060,9610.0,C
1-987435-CF,M,35659,EL ORO,DURANGO,W2338,233,9932.0,C
1-333957-FW,F,27148,TORREON,COAHUILA DE ZARAGOZA,V0123,424,9932.0,C
1-214003-II,M,95340,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,X8341,1834,9933.0,C
1-490803-EM,M,7960,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0998,99,9934.0,S
1-853985-AY,F,36100,SILAO,GUANAJUATO,W2818,281,9931.0,S
1-785837-RM,M,21240,MEXICALI,BAJA CALIFORNIA,W1418,141,6777.0,C
1-173598-SK,M,45050,ZAPOPAN,JALISCO,V0402,106,6150.0,C
1-360538-MY,M,24120,CARMEN,CAMPECHE,W3065,306,9610.0,S
1-434244-YO,F,38050,CELAYA,GUANAJUATO,V0429,302,9931.0,S
1-629223-FW,F,21130,MEXICALI,BAJA CALIFORNIA,W1418,141,6777.0,S
1-985712-WV,F,72824,SAN ANDRES CHOLULA,PUEBLA,W3102,310,9933.0,S
1-922960-LW,F,28219,MANZANILLO,COLIMA,V0165,184,6150.0,S
1-444809-[V,F,6400,CUAUHTEMOC,CIUDAD DE MEXICO,W0228,22,9934.0,C
1-921166-VA,M,47270,ENCARNACION DE DIAZ,JALISCO,V0253,156,9931.0,C
1-425040-FV,M,27105,TORREON,COAHUILA DE ZARAGOZA,W8113,811,9932.0,C
1-639186-BN,M,91000,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,W3352,335,9933.0,C
