customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil
1-507884-OF,M,47200,TEOCALTICHE,JALISCO,W1541,154,9931.0,C
1-967359-UA,F,3100,BENITO JUAREZ,CIUDAD DE MEXICO,W0283,28,4831.0,C
1-221958-BF,F,22645,TIJUANA,BAJA CALIFORNIA,X1893,1189,6777.0,S
1-831520-TQ,F,78270,SAN LUIS POTOSI,SAN LUIS POTOSI,V0248,425,9931.0,C
1-372302-TG,M,3020,BENITO JUAREZ,CIUDAD DE MEXICO,W0283,28,4831.0,S
1-809015-ED,F,89110,TAMPICO,TAMAULIPAS,V0333,1881,9932.0,C
1-922919-KL,M,72000,PUEBLA,PUEBLA,W3308,330,9933.0,C
1-163423-Q[,F,45470,ACATIC,JALISCO,W1751,175,6150.0,C
1-210040-XY,M,74470,IZUCAR DE MATAMOROS,PUEBLA,V0268,319,9933.0,S
1-944701-HV,F,91710,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,V0227,1914,9933.0,C
1-167558-NO,M,72190,PUEBLA,PUEBLA,Z0323,3032,9933.0,S
1-315407-XQ,M,37690,LEON,GUANAJUATO,W1511,151,9931.0,C
1-501942-PV,M,62140,CUERNAVACA,MORELOS,V0100,737,9934.0,S
1-276481-IG,M,91698,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,V0136,336,9933.0,V
1-226261-VC,M,44200,GUADALAJARA,JALISCO,W1082,108,6150.0,C
1-161014-CX,F,58090,MORELIA,MICHOACAN DE OCAMPO,W3012,301,6150.0,V
1-798596-HZ,M,24090,CAMPECHE,CAMPECHE,W3692,369,9610.0,C
1-745435-GO,M,66240,SAN PEDRO GARZA GARCIA,NUEVO LEON,X1372,1137,9932.0,S
1-237174-[M,M,78150,SAN LUIS POTOSI,SAN LUIS POTOSI,W2886,288,9931.0,C
1-448752-[S,F,47180,ARANDAS,JALISCO,V0153,162,6150.0,C
1-695817-ZR,F,14350,TLALPAN,CIUDAD DE MEXICO,W0994,99,9934.0,C
1-549184-PD,M,49700,SAN GABRIEL,JALISCO,V8154,167,6150.0,C
1-868368-SD,F,3550,BENITO JUAREZ,CIUDAD DE MEXICO,V0044,62,4831.0,C
1-431787-NC,F,45030,ZAPOPAN,JALISCO,Z5583,3558,6150.0,C
1-163104-QF,M,35070,GOMEZ PALACIO,DURANGO,W2352,235,9932.0,C
1-944759-UF,F,57100,NEZAHUALCOYOTL,MEXICO,W5118,511,9934.0,C
1-557095-AD,F,10200,LA MAGDALENA CONTRERAS,CIUDAD DE MEXICO,V0062,1574,4831.0,C
1-765499-XX,F,97302,MERIDA,YUCATAN,W9023,902,9610.0,C
1-689050-MV,M,35660,EL ORO,DURANGO,W2332,233,9932.0,C
1-535362-ZX,M,48740,EL GRULLO,JALISCO,W1614,161,6150.0,C
1-551504-UB,F,14390,TLALPAN,CIUDAD DE MEXICO,W0384,38,4831.0,C
1-605018-XS,M,38070,CELAYA,GUANAJUATO,W0018,1,4831.0,C
1-605749-AL,M,4420,COYOACAN,CIUDAD DE MEXICO,Z0544,3054,4831.0,C
1-575265-WX,M,43976,TEPEAPULCO,HIDALGO,Z0154,3015,4831.0,C
1-600376-XI,M,42186,MINERAL DE LA REFORMA,HIDALGO,W0782,78,9934.0,S
1-982178-TI,M,9440,IZTAPALAPA,CIUDAD DE MEXICO,W9978,997,4831.0,C
1-945176-YD,M,45417,TONALA,JALISCO,V0612,3808,6150.0,C
