customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil,CVE_SUC,NOM_SUC,CVE_ZONA,NOM_ZONA,CVE_COORD,NOM_COORD,latitud,longitud
1-363766-ET,M,8220,IZTACALCO,CIUDAD DE MEXICO,W6281,628,4831.0,U,628,SUC. PLAZA MANANTIALES,4831,D DIV RB METRO SUR,5215,MS07 - XOCHIMILCO,19.3933351,-99.1308187
1-162781-[P,M,67110,GUADALUPE,NUEVO LEON,W7293,729,9932.0,C,729,SUC. SAN MIGUEL,9932,D DIV RB NORTE,8150,N01 - MONTERREY 1,25.7126923,-100.2100463
1-411912-VV,M,44360,GUADALAJARA,JALISCO,W1152,115,6150.0,C,115,SUC. SAN FELIPE,6150,D DIV RB OCCIDENTE,6056,O02 - GUADALAJARA,20.6777403,-103.3292709
1-207096-FO,M,44100,GUADALAJARA,JALISCO,W1043,104,6150.0,C,104,SUC. PROVINCIAL,6150,D DIV RB OCCIDENTE,6056,O02 - GUADALAJARA,20.674935,-103.3474109
1-524080-VI,M,54467,NICOLAS ROMERO,MEXICO,W0263,26,4831.0,S,26,SUC. GUARDIOLA,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO,19.6005703,-99.2901372
1-606996-LE,F,10000,LA MAGDALENA CONTRERAS,CIUDAD DE MEXICO,W0398,39,4831.0,S,39,SUC. SAN JERONIMO,4831,D DIV RB METRO SUR,5230,MS01 - ALTAVISTA,19.3158776,-99.2408306
1-763783-GJ,F,4340,COYOACAN,CIUDAD DE MEXICO,Z8038,3803,9934.0,C,3803,SUC. PLAZA REFORMA,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.3404582,-99.1880757
1-945716-KQ,M,1820,ALVARO OBREGON,CIUDAD DE MEXICO,S9945,6994,9934.0,C,6994,SUC. SEGMENTOS REFORMA,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.3403641,-99.2630303
1-345523-BD,F,97130,MERIDA,YUCATAN,Z7295,3729,9610.0,S,3729,SUC. CIRCUITO COLONIAS,9610,D DIV RB PENINSULAR,9217,P01 - MERIDA,21.0258867,-89.5746869
1-491320-AY,M,88000,NUEVO LAREDO,TAMAULIPAS,W2683,268,9932.0,C,268,SUC. ADUANA,9932,D DIV RB NORTE,8712,N08 - NUEVO LAREDO,27.48842,-99.5071893
1-897180-SV,M,48700,EL LIMON,JALISCO,W1611,161,6150.0,C,161,SUC. EL GRULLO,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA,19.8266733,-104.1594101
1-164163-BZ,F,54948,TULTITLAN,MEXICO,W6008,600,9934.0,C,600,SUC. TULTITLAN,9934,D DIV RB METRO NORTE,5238,MN07 - CUAUTITLAN,19.6155526,-99.1483659
1-511967-MC,M,86100,CENTRO,TABASCO,V0084,350,9610.0,V,350,SUC. MENDEZ,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO,17.9892533,-92.9445861
1-182380-VS,F,83010,HERMOSILLO,SONORA,W1692,169,6777.0,C,169,SUC. LUIS ENCINAS,6777,D DIV  RB NOROESTE,7009,NO04 - HERMOSILLO,29.0969856,-110.944199
1-184642-LW,F,63035,TEPIC,NAYARIT,W8633,863,6150.0,C,863,SUC. JUAN ESCUTIA,6150,D DIV RB OCCIDENTE,6050,O04 -GUADALAJARA,21.4985034,-104.9117626
1-500234-QV,F,86930,BALANCAN,TABASCO,W3543,354,9610.0,S,354,SUC. BALANCAN,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO,17.8144467,-91.5370144
1-528297-KK,F,9810,IZTAPALAPA,CIUDAD DE MEXICO,W0628,62,4831.0,S,62,SUC. SUPREMA CORTE,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO,19.3520938,-99.1100946
1-103638-OW,M,56130,TEXCOCO,MEXICO,W0148,14,9934.0,C,14,SUC. TEXCOCO,9934,D DIV RB METRO NORTE,5209,MN09 - ECATEPEC,19.5081658,-98.8716484
1-882599-LV,M,21390,MEXICALI,BAJA CALIFORNIA,W1418,141,6777.0,S,141,SUC. MADERO,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI,32.6105539,-115.4272719
1-899724-AU,M,55120,ECATEPEC DE MORELOS,MEXICO,V0591,3020,9934.0,C,3020,SUC. MULTIPLAZA ARAGON,9934,D DIV RB METRO NORTE,5209,MN09 - ECATEPEC,19.5367997,-99.0320044
1-670329-LP,F,14200,TLALPAN,CIUDAD DE MEXICO,Z0169,3016,4831.0,C,3016,SUC. TORRE ZAFIRO,4831,D DIV RB METRO SUR,5214,MS05 - PEDREGAL,19.2834184,-99.2219915
1-616020-CA,M,37160,LEON,GUANAJUATO,V1087,411,9931.0,C,411,SUC. JULIAN DE OBREGON,9931,D DIV RB CENTRO,6204,C01 - LEON,21.1471497,-101.6939845
1-132366-ZI,M,52938,ATIZAPAN DE ZARAGOZA,MEXICO,X9762,1976,9934.0,C,1976,SUC. CHILUCA,9934,D DIV RB METRO NORTE,5205,MN04 - SATELITE,19.5761642,-99.3219532
1-159388-IV,M,56536,IXTAPALUCA,MEXICO,Z0541,3054,4831.0,C,3054,SUC. BARRANCA INSURGENTES,4831,D DIV RB METRO SUR,5212,MS08 - COYOACAN,19.3078413,-98.8674034
1-849748-U\,F,93390,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,V0284,338,9933.0,C,338,SUC. POZA RICA,9933,D DIV RB  SUR,8611,S06 - POZA RICA,20.5089038,-97.4263576
1-800246-FC,M,1780,ALVARO OBREGON,CIUDAD DE MEXICO,W5591,559,4831.0,C,559,SUC. LUIS CABRERA,4831,D DIV RB METRO SUR,5214,MS05 - PEDREGAL,19.3419351,-99.2207479
1-511628-XZ,M,89510,CIUDAD MADERO,TAMAULIPAS,X5921,1592,9932.0,C,1592,SUC. CENTRO HISTORICO,9932,D DIV RB  SUR,8619,S09 - TAMPICO-VICTORIA,22.2886322,-97.8367637
1-398363-IJ,F,37380,LEON,GUANAJUATO,V0315,275,9931.0,S,275,SUC. URB. CENTRO,9931,D DIV RB CENTRO,6204,C01 - LEON,21.1102711,-101.6894251
1-918583-WL,M,35660,EL ORO,DURANGO,W2332,233,9932.0,C,233,SUC. STA. MA. ORO,9932,D DIV RB NORTE,7903,N11 - DURANGO,25.4751079,-105.0856376
1-176209-GQ,F,11410,MIGUEL HIDALGO,CIUDAD DE MEXICO,W0995,99,9934.0,S,99,SUC. TORRE HSBC,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.4569782,-99.1876508
1-101439-OX,M,47600,TEPATITLAN DE MORELOS,JALISCO,V0329,158,6150.0,C,158,SUC. TEPATITLAN,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO,20.8171289,-102.7618161
1-489440-LI,M,45260,IXTLAHUACAN DEL RIO,JALISCO,W1764,176,6150.0,C,176,SUC. IXTLAHUACAN,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO,20.863251,-103.239534
1-672884-IO,M,47600,TEPATITLAN DE MORELOS,JALISCO,V0329,158,6150.0,C,158,SUC. TEPATITLAN,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO,20.8171289,-102.7618161
1-459248-WL,F,45079,ZAPOPAN,JALISCO,W1189,118,6150.0,C,118,SUC. PZA. DEL SOL,6150,D DIV RB OCCIDENTE,6049,O03 - GUADALAJARA,20.6365392,-103.4348699
1-676157-KQ,F,53297,NAUCALPAN,MEXICO,W0998,99,9934.0,C,99,SUC. TORRE HSBC,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.4781627,-99.2755723
1-701476-MG,F,37217,LEON,GUANAJUATO,W2783,278,9931.0,C,278,SUC. INSURGENTES,9931,D DIV RB CENTRO,6204,C01 - LEON,21.1551751,-101.6458084
1-470486-GZ,M,14210,TLALPAN,CIUDAD DE MEXICO,W0602,60,4831.0,S,60,SUC. CENTRAL DE ABASTOS,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO,19.3049093,-99.2029007
1-418164-QV,M,33077,DELICIAS,CHIHUAHUA,X1323,1132,6777.0,C,1132,SUC. HIPERMART DELICIAS,6777,D DIV  RB NOROESTE,7701,NO10 - CHIHUAHUA CENTRO,28.1769032,-105.482537
1-250701-MP,F,56585,IXTAPALUCA,MEXICO,W0164,16,9934.0,C,16,SUC. MEDELLIN,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA,19.3315713,-98.8975679
